"ID","SNAME","K","Name","DECODE","CalcTip","GLN","UNIT","F","IDF","USUNIT","KFF","USKFF","L2","P","F1","F2","PTip","nHDR","View","FldNam","format"
"518","acn",,"ê,Np/cm","ê,Np/cm",,,"Np/cm                         ","          ","ABS   ","dB/cm                         ","          ","          ",,"ê                                                 ",,,"ABS ",0,1,,
"518","acb",,"ê,dB/cm","ê,dB/cm",,,"dB/cm                         ","          ","ABS   ","dB/cm                         ","          ","          ",,"ê                                                 ",,,"ABS ",0,1,,
"518","acd",,"ê,Np/mcsec","ê,Np/Micros",,,"Np/Micros                     ","          ","      ","Np/Micros                     ","          ","          ",,"ê                                                 ",,,"    ",0,1,,
"518","acm",,"ê,mm-1","ê,mm^-1",,,"mm^-1                         ","          ","RLE   ","mm^-1                         ","          ","          ",,"ê                                                 ",,,"RLE ",0,1,,
"000","tc",,"T,oC","T,oC",,"at","oC                            ","          ","TMP   ","K                             ","          ","          ","TMP","T                                                 ",,,"TMP ",0,1,," "
"000","tk",,"T,K","T,K",,"at","K                             ","          ","TMP   ","K                             ","          ","          ","TMP","T                                                 ",,,"TMP ",0,1,,
"000","tim",,"t,min","t,min",,"after","min                           ","          ","TIM   ","h                             ","          ","          ","TIM","t                                                 ",,,"TIM ",0,1,,
"000","tih",,"Time","t,h",,"at","h                             ","          ","TIM   ","h                             ","          ","          ","TIM","t                                                 ",,,"TIM ",0,1,,
"000","tic",,"Temp. range","temp.range,oC",,"in","oC                            ","          ","TMP   ","K                             ","          ","          ","TMP","temp.range                                        ",,,"TMP ",0,0,,
"000","tik",,,"temp.range,K",,"in","K                             ","          ","TMP   ","K                             ","          ","          ",,"temp.range                                        ",,,"TMP ",0,0,,
"130","tec","ê","ê*1E7,K^-1","ê*1E7,K^-1","Any_tec",,"K^-1                          ","          ","TEC   ","K^-1                          ","1E7       ","1E7       ",,"ê                                                 ",,,"TEC ",0,1,"any_tec",
"200","cpj/k",,"C,J/kg.K","C,J/kg.K",,,"J/kg.K                        ","          ","HTC   ","J/g-atom.K                    ","          ","          ",,"C                                                ",,,"HTC ",0,1,,
"220","tconw/m",,"ô,W/m.K","ô,W/m.K","cond220",,"W/m.K                         ","          ","THC   ","cal/cm.s.K                    ","          ","          ",,"ô                                                 ",,,"THC ",0,1,"cond220",
"230","tdif/m",,"a*1E7,m2/s","a*1E6,m2/s",,,"m2/s                          ","          ","DIF   ","cm2/s                         ","1E6       ","1E6       ",,"a                                                 ",,,"TDI ",0,1,,
"530","hkg/mm",,"H,kgf/mm2","H,kgf/mm2",,,"kgf/mm2                       ","          ","MDU   ","GPa                           ","          ","          ","S","H                                                 ",,,"MDU ",0,1,"mikrotv",
"700","sr",,"ú,Ohm.cm","ú,Ohm.cm",,,"Ohm.cm                        ","          ","ELR   ","Ohm.cm                        ","          ","          ","H","ú                                                 ",,,"ELR ",0,1,,
"700","sc",,"ó,Ohm-1.cm-1","ó,Ohm^-1.cm^-1",,,"Ohm^-1.cm^-1                  ","          ","ELC   ","Ohm^-1.cm^-1                  ","          ","          ","H","ó                                                 ",,,"ELC ",0,1,,
"700","lsr",,"log(ú,Ohm.cm)","log(ú,Ohm.cm)",,"at","Ohm.cm                        ","log       ","ELR   ","Ohm.cm                        ","          ","          ","H","ú                                                 ",,,"ELR ",0,1,,
"700","lsc",,,"log(ó,Ohm^-1.cm^-1)",,"at","Ohm^-1.cm^-1                  ","log       ","ELC   ","Ohm^-1.cm^-1                  ","          ","          ","H","ó                                                 ",,,"ELC ",0,1,,
"700","psc",,"óà,Ohm-1.cm-1","óà,Ohm^-1.cm^-1",,,"Ohm^-1.cm^-1                  ","          ","ELC   ","Ohm^-1.cm^-1                  ","          ","          ",,"óà                                                ",,,"ELC ",0,0,,
"700","psr",,"úà,Ohm.cm","úà,Ohm.cm",,,"Ohm.cm                        ","          ","ELR   ","Ohm.cm                        ","          ","          ",,"úà                                                ",,,"ELR ",0,0,,
"700","aeev",,"E,eV","E,eV",,,"eV                            ","          ","ACE   ","kcal/mole                     ","          ","          ",,"E                                                 ",,,"ACE ",0,0,,
"700","aekm",,"E,kcal/mol","E,kcal/mol",,,"kcal/mol                      ","          ","ENT   ","kJ/g-atom                     ","          ","          ",,"E                                                 ",,,"ENT ",0,0,,
"700","aerk",,"E/R,K","E/R,K",,,"K                             ","          ","TMP   ","K                             ","          ","          ",,"E/R                                               ",,,"TMP ",0,0,,
"700","lpsc",,,"log(óà,Ohm^-1.cm^-1)",,,"Ohm^-1.cm^-1                  ","log       ","ELC   ","Ohm^-1.cm^-1                  ","          ","          ",,"óà                                                ",,,"ELC ",0,0,,
"730","tgd",,"Taní*1E4","Taní*1E4","tgd730",,"                              ","          ","      ","                              ","1E4       ","1E4       ",,"Taní                                              ",,,"    ",0,1,,
"730","eps",,"î'","î'","eps730",,"                              ","          ","      ","                              ","          ","          ",,"î'                                                ",,,"    ",0,1,,
"100","dens",,"d,g/cm3","d,g/cm3","density",,"g/cm3                         ","          ","DEN   ","g/cm3                         ","          ","          ","L","d                                                 ",,,"DEN ",0,1,"density",
"300","nd",,"n¹","n¹","nd300",,"                              ","          ","      ","                              ","          ","          ",,"n¹                                                ",,,"    ",0,1,"nd300",
"410","spt",,,"S.P.,oC","Spt",,"oC                            ","          ","TMP   ","K                             ","          ","          ",,"S.P.                                              ",,,"TMP ",0,1,"Spt",
"410","apt",,"A.P.,oC","A.P.,oC","AnPt",,"oC                            ","          ","TMP   ","K                             ","          ","          ","G","A.P.                                              ",,,"TMP ",0,1,"AnPt",
"410","sagpt",,"Sag P.,oC","Sag P.,oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ","TMP","Sag P.                                            ",,,"TMP ",0,1,,
"410","sipt",,"Sink P.,oC","Sink P.,oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ","TMP","Sink P.                                           ",,,"TMP ",0,1,,
"410","fpt",,"F.P.,oC","F.P.,oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ","F","F.P.                                              ",,,"TMP ",0,1,,
"410","solpt",,"Sold.P.,oC","Sold.P.,oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ","TMP","Sold.P.                                           ",,,"TMP ",0,1,,
"420","tg",,"T†,oC","T†,oC","Tg",,"oC                            ","          ","TMP   ","K                             ","          ","          ","D","T†                                                ",,,"TMP ",0,1,"Tg",
"420","tgh",,"T†¨,oC","T†¨,oC","Tg",,"oC                            ","          ","TMP   ","K                             ","          ","          ","TMP","T†¨                                               ",,,"TMP ",0,1,"Tg",
"420","tgc",,"T†¬,oC","T†¬,oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ","TMP","T†¬                                               ",,,"TMP ",0,1,,
"440","mg",,"M†,oC","M†,oC","Mg",,"oC                            ","          ","TMP   ","K                             ","          ","          ",,"M†                                                ",,,"TMP ",0,1,"Mg",
"000","tis",,"t,s","t,s",,"at","s                             ","          ","TIM   ","h                             ","          ","          ","TIM","t                                                 ",,,"TIM ",0,1,,
"410","lanr",,"T‹€,oC","T‹,oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ","G","T‹                                                ",,,"TMP ",0,1,,
"410","hanr",,"T‡€,oC","T‡,oC","AnPt",,"oC                            ","          ","TMP   ","K                             ","          ","          ","F","T‡                                                ",,,"TMP ",0,1,"AnPt",
"000","hr/s",,,"Heating rate,K/s",,"at","K/s                           ","          ","TRT   ","K/s                           ","          ","          ",,"Heating rate                                      ",,,"TRT ",0,1,,
"000","cr/s",,"-dT/dt,K/s","Cooling rate,K/s",,"at","K/s                           ","          ","TRT   ","K/s                           ","          ","          ",,"Cooling rate                                      ",,,"TRT ",0,1,,
"000","hoppm",,"HâO content,ppm","HâO,ppm",,,"ppm                           ","          ","      ","ppm                           ","          ","          ",,"HâO                                               ",,,"    ",0,1,,
"000","hopc",,"HâO content,wt%","HâO,wt%",,,"wt%                           ","          ","      ","wt%                           ","          ","          ",,"HâO                                               ",,,"    ",0,1,,
"000","at",,"Temperature","TŽŽŒ",,"at","                              ","          ","TMP   ","K                             ","          ","          ",,"TŽŽŒ                                             ",,,"TMP ",0,1,,
"000","prpa",,"Pressure,Pa","P,Pa",,"at","Pa                            ","          ","MDU   ","GPa                           ","          ","          ","MDU","P                                                 ",,,"MDU ",0,1,,
"000","pra",,"P,atm","P,atm",,"at","atm                           ","          ","PRE   ","kg/cm2                        ","          ","          ",,"P                                                 ",,,"PRE ",0,1,,
"000","prb",,"P,bar","P,bar",,"at","bar                           ","          ","MDU   ","GPa                           ","          ","          ",,"P                                                 ",,,"MDU ",0,1,,
"000","prmm",,"P,mm Hg","P,mm Hg",,"at","mm Hg                         ","          ","PRE   ","kg/cm2                        ","          ","          ",,"P                                                 ",,,"PRE ",0,1,,
"000","f",,"f,Hz","f,Hz",,"at","Hz                            ","          ","FRQ   ","Hz                            ","          ","          ","FRQ","f                                                 ",,,"FRQ ",0,1,,
"000","fg",,"Frequency","f,GHz",,"at","GHz                           ","          ","FRQ   ","Hz                            ","          ","          ","FRQ","f                                                 ",,,"FRQ ",0,1,,
"000","lf",,,"log(f,Hz)",,"at","Hz                            ","log       ","FRQ   ","Hz                            ","          ","          ",,"f                                                 ",,,"FRQ ",0,1,,
"000","fi",,,"f range,Hz",,"in","Hz                            ","          ","FRQ   ","Hz                            ","          ","          ",,"f range                                           ",,,"FRQ ",0,1,,
"000","fik",,,"f range,kHz",,"in","kHz                           ","          ","FRQ   ","Hz                            ","          ","          ","FRQ","f range                                           ",,,"FRQ ",0,1,,
"000","fim",,,"f range,MHz",,"in","MHz                           ","          ","FRQ   ","Hz                            ","          ","          ","FRQ","f range                                           ",,,"FRQ ",0,1,,
"000","fig",,,"f range,GHz",,"in","GHz                           ","          ","FRQ   ","Hz                            ","          ","          ",,"f range                                           ",,,"FRQ ",0,1,,
"130","tcr1",,"T‚á,oC","T‚á,oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ","TMP","T‚á                                              ",,,"TMP ",0,1,,
"130","tcr2",,"T‚â,oC","T‚â,oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ","TMP","T‚â                                              ",,,"TMP ",0,1,,
"130","tecv",,"ë*1E5,K^-1","ë*1E5,K^-1",,,"K^-1                          ","          ","TEC   ","K^-1                          ","1E5       ","1E5       ",,"ë                                                 ",,,"TEC ",0,1,,
"540","tskg/mm",,"ûŸ,kg/mm2","ûŸ,kgf/mm2","t_str",,"kgf/mm2                       ","          ","MDU   ","GPa                           ","          ","          ","MDU","ûŸ                                                ",,,"STR ",0,1,,
"540","cskg/mm",,"û‚,kg/mm2","û‚,kgf/mm2","c_str",,"kgf/mm2                       ","          ","MDU   ","GPa                           ","          ","          ",,"û‚                                                ",,,"STR ",0,1,,
"540","bskg/mm",,"û,kg/mm2","û,kgf/mm2","b_str",,"kgf/mm2                       ","          ","MDU   ","GPa                           ","          ","          ","MDU","û                                                ",,,"STR ",0,1,,
"180","rtsh",,"ÍTŸ„,K","ÍTŸ„,K",,,"K                             ","          ","TMP   ","K                             ","          ","          ","P","ÍTŸ„                                              ",,,"TMP ",0,1,"rtsh180",
"700","tk100",,"TK-100,oC","TK-100,oC","tk100c",,"oC                            ","          ","TMP   ","K                             ","          ","          ","I","TK-100                                            ",,,"TMP ",0,1,"tk100c",
"220","tconkcal/m",,"ô,kcal/m.hr.K","ô,kcal/m.h.K","cond220",,"kcal/m.h.K                    ","          ","THC   ","cal/cm.s.K                    ","          ","          ",,"ô                                                 ",,,"THC ",0,1,"cond220",
"300","nf",,"nº","nº",,,"                              ","          ","      ","                              ","          ","          ",,"nº                                                ",,,"    ",0,1,,
"300","nc",,"n¸","n¸",,,"                              ","          ","      ","                              ","          ","          ",,"n¸                                                ",,,"    ",0,1,,
"300","n",,"n","n","nd300",,"                              ","          ","      ","                              ","          ","          ",,"n                                                 ",,,"    ",0,1,"nd300",
"000","t1",,,"Tá,oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ","TMP","Tá                                                ",,,"TMP ",0,1,,
"000","t2",,,"Tâ,oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ","TMP","Tâ                                                ",,,"TMP ",0,1,,
"000","t3",,,"Tã,oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ","TMP","Tã                                                ",,,"TMP ",0,1,,
"000","t4",,"Tä,oC","Tä,oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ","TMP","Tä                                                ",,,"TMP ",0,1,,
"000","t5",,,"Tå,oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ","TMP","Tå                                                ",,,"TMP ",0,1,,
"400","b","B","B,K","B,K",,,"K                             ","          ","TMP   ","K                             ","          ","          ",,"B                                                 ",,,"TMP ",0,0,,
"400","aua","A",,"-lnA",,,"                              ","          ","      ","                              ","          ","          ",,"-lnA                                              ",,,"    ",0,0,,
"400","lvole","A",,"-A",,,"                              ","          ","      ","                              ","          ","          ",,"-A                                                ",,,"    ",0,0,,
"400","aae","A",,"A",,,"                              ","          ","      ","                              ","          ","          ",,"A                                                 ",,,"    ",0,0,,
"000","th",,,"Heat-treatment T,oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ","TMP","Heat-treatment T                                  ",,,"TMP ",0,1,,
"000","htc",,,"Heat-treatment cond.",,,"                              ","          ","      ","                              ","          ","          ",,"Heat-treatment cond.                              ",,,"    ",0,1,,
"300","nsd",,"nƒ","nƒ","nd300",,"                              ","          ","      ","                              ","          ","          ",,"nƒ                                                ",,,"    ",0,1,"nd300",
"300","ng",,"n¼","n¼",,,"                              ","          ","      ","                              ","          ","          ",,"n¼                                                ",,,"    ",0,1,,
"300","dnfc",,"(nº-n¸)*1E4","[nº-n¸]*1E4","dnfc300",,"                              ","          ","NNN   ","                              ","1E4       ","1E4       ",,"[nº-n¸]                                           ",,,"NNN ",0,1,"dnfc300",
"300","nud",,"ö¹","ö¹","nud300",,"                              ","          ","      ","                              ","          ","          ",,"ö¹                                                ",,,"    ",0,1,"nud300",
"300","nu",,"ö","ö","nud300",,"                              ","          ","      ","                              ","          ","          ",,"ö                                                 ",,,"    ",0,1,"nud300",
"600","wlpc",,"Wt loss,%","Wt loss,%",,,"%                             ","          ","      ","%                             ","          ","          ",,"Wt loss                                           ",,,"    ",0,1,,
"600","wlmg",,"Wt loss,mg","Wt loss,mg",,,"mg                            ","          ","MAS   ","mg                            ","          ","          ",,"Wt loss                                           ",,,"MAS ",0,1,,
"300","dngaf",,"(nÞ-nº)*1E4","[nÞ-nº]*1E4",,,"                              ","          ","NNN   ","                              ","1E4       ","1E4       ",,"[nÞ-nº]                                           ",,,"NNN ",0,1,,
"000","wlnm",,"ô,nm","ô,nm",,"at","nm                            ","          ","WAV   ","Micronm                       ","          ","          ",,"ô                                                 ",,,"WAV ",0,1,,
"000","wlmc",,"ô,Micron","ô,Microm",,"at","Microm                        ","          ","WAV   ","Micronm                       ","          ","          ",,"ô                                                 ",,,"WAV ",0,1,,
"100","da",,"A,g/cm3","A,g/cm3",,,"g/cm3                         ","          ","DEN   ","g/cm3                         ","          ","          ",,"A                                                 ",,,"DEN ",0,0,,
"100","db",,"B,g/cm3*K","B,g/cm3.K",,,"g/cm3.K                       ","          ","      ","g/cm3.K                       ","          ","          ",,"B                                                 ",,,"    ",0,0,,
"000","fk",,,"f,kHz",,"at","kHz                           ","          ","FRQ   ","Hz                            ","          ","          ","FRQ","f                                                 ",,,"FRQ ",0,1,,
"000","fm",,,"f,MHz",,"at","MHz                           ","          ","FRQ   ","Hz                            ","          ","          ","FRQ","f                                                 ",,,"FRQ ",0,1,,
"954","lt",,"T‹ˆœ","T‹ˆœ,oC","TLiq",,"oC                            ","          ","TMP   ","K                             ","          ","          ","TMP","T‹ˆœ                                              ",,,"TMP ",0,1,"TLiq",
"500","gdyn/mm",,"G*1E-11,dyn/mm2","G*1E-11,dyn/mm2","mod_sdv",,"dyn/mm2                       ","          ","MDU   ","GPa                           ","1E-11     ","1E-11     ","R","G                                                 ",,,"MDU ",0,1,"mod_sdv",
"500","kdyn/mm",,"K*1E-11,dyn/mm2","K*1E-11,dyn/mm2",,,"dyn/mm2                       ","          ","MDU   ","GPa                           ","1E-11     ","1E-11     ",,"K                                                 ",,,"MDU ",0,1,,
"500","ggpa",,"G,GPa","G,GPa","mod_sdv",,"GPa                           ","          ","MDU   ","GPa                           ","          ","          ","R","G                                                 ",,,"MDU ",0,1,"mod_sdv",
"500","kgpa",,"K,GPa","K,GPa",,,"GPa                           ","          ","MDU   ","GPa                           ","          ","          ",,"K                                                 ",,,"MDU ",0,1,,
"500","gkb",,"G,kbar","G,kbar","mod_sdv",,"kbar                          ","          ","MDU   ","GPa                           ","          ","          ","R","G                                                 ",,,"MDU ",0,1,"mod_sdv",
"500","kkb",,"K,kbar","K,kbar",,,"kbar                          ","          ","MDU   ","GPa                           ","          ","          ","MDU","K                                                 ",,,"MDU ",0,1,,
"500","gkg/mm",,"G*1E-3,kg/mm2","G*1E-3,kgf/mm2","mod_sdv",,"kgf/mm2                       ","          ","MDU   ","GPa                           ","1E-3      ","1E-3      ","R","G                                                 ",,,"MDU ",0,1,"mod_sdv",
"500","kkg/mm",,"K*1E-3,kg/mm2","K*1E-3,kgf/mm2",,,"kgf/mm2                       ","          ","MDU   ","GPa                           ","1E-3      ","1E-3      ","MDU","K                                                 ",,,"MDU ",0,1,,
"500","mu",,"õ","õ","pois",,"                              ","          ","      ","                              ","          ","          ",,"õ                                                 ",,,"    ",0,1,"pois",
"730","eps2",,"î""","î""",,,"                              ","          ","      ","                              ","          ","          ",,"î""                                                ",,,"    ",0,1,,
"600","sw",,,"Sorbed HâO,mg/cm3",,,"mg/cm3                        ","          ","      ","mg/cm3                        ","          ","          ",,"Sorbed HâO                                        ",,,"    ",0,1,,
"600","dh",,"-ÍH,cal/g","-ÍHž,cal/g",,,"cal/g                         ","          ","ENT   ","J/mol                         ","          ","          ",,"-ÍHž                                              ",,,"HSL ",0,1,,
"600","nsol",,"n*1E6,mol/cm2","n*1E6,mol/cm2",,,"mol/cm2                       ","          ","      ","mol/cm2                       ","1E6       ","1E6       ",,"n                                                 ",,,"    ",0,1,,
"600","vsol",,"v*1E6,g/cm2.s","v*1E6,g/cm2.s",,,"g/cm2.s                       ","          ","EVR   ","mg/cm2.h                      ","1E6       ","1E6       ",,"v                                                 ",,,"EVR ",0,1,,
"600","bm",,"B,Micron","b,Microm",,,"Microm                        ","          ","WAV   ","Micronm                       ","          ","          ",,"b                                                 ",,,"WAV ",0,1,,
"600","k",,"K","K",,,"                              ","          ","      ","                              ","          ","          ",,"K                                                 ",,,"    ",0,1,,
"600","al",,"ê","ê",,,"                              ","          ","      ","                              ","          ","          ",,"ê                                                 ",,,"    ",0,1,,
"600","dh/km",,"-ÍH,kcal/mol","-ÍHž,kcal/mol",,,"kcal/mol                      ","          ","ENT   ","J/mol                         ","          ","          ",,"-ÍHž                                              ",,,"HSL ",0,1,,
"600","vo",,"và,mm/hr","và,mm/h",,,"mm/h                          ","          ","VEL   ","m/s                           ","          ","          ",,"và                                                ",,,"VEL ",0,1,,
"560","d/c",,"û,dyn/cm","û,dyn/cm","SUT",,"dyn/cm                        ","          ","SUT   ","mJ/m2                         ","          ","          ",,"û                                                 ",,,"SUT ",0,1,,
"500","edyn/cm",,"E*1E-11,dyn/cm2","E*1E-11,dyn/cm2","mod_ung",,"dyn/cm2                       ","          ","MDU   ","GPa                           ","1E-11     ","1E-11     ","Q","E                                                 ",,,"MDU ",0,1,"mod_ung",
"500","kdyn/cm",,"K*1E-11,dyn/cm2","K*1E-11,dyn/cm2",,,"dyn/cm2                       ","          ","MDU   ","GPa                           ","1E-11     ","1E-11     ",,"K                                                 ",,,"MDU ",0,1,,
"500","gdyn/cm",,"G*1E-11,dyn/cm2","G*1E-11,dyn/cm2","mod_sdv",,"dyn/cm2                       ","          ","MDU   ","GPa                           ","1E-11     ","1E-11     ","R","G                                                 ",,,"MDU ",0,1,"mod_sdv",
"400","lpo","A",,"-log(ñà,P)",,,"P                             ","-log      ","VIS   ","P                             ","          ","          ",,"ñà                                                ",,,"VIS ",0,1,,
"700","lpsr",,"log(úà,Ohm.cm)","log(úà,Ohm.cm)",,,"Ohm.cm                        ","log       ","ELR   ","Ohm.cm                        ","          ","          ",,"úà                                                ",,,"ELR ",0,0,,
"300","nsg",,"n†","n†",,,"                              ","          ","      ","                              ","          ","          ",,"n†                                                ",,,"    ",0,1,,
"000","rt",,"1/T*1E4,K^-1","1/T*1E4,K^-1",,"at","K^-1                          ","          ","TEC   ","K^-1                          ","1E4       ","1E4       ",,"1/T                                               ",,,"TEC ",0,1,,
"600","alkpc",,,"Extracted alk.oxides,%",,,"%                             ","          ","      ","%                             ","          ","          ",,"Extracted alk.oxides                              ",,,"    ",0,1,,
"600","hm",,"h,mg/m2","h,mg/m2",,,"mg/m2                         ","          ","      ","mg/m2                         ","          ","          ","MDU","h                                                 ",,,"    ",0,1,,
"800","dc",,"D,cm2/s","D,cm2/s",,,"cm2/s                         ","          ","DIF   ","m2/s                          ","          ","          ",,"D                                                 ",,,"DIF ",0,1,,
"800","d0",,"Dà,cm2/s","Dà,cm2/s",,,"cm2/s                         ","          ","DIF   ","m2/s                          ","          ","          ",,"Dà                                                ",,,"DIF ",0,1,,
"800","aekjm",,"E¹,kJ/mol","E¹,kJ/mol",,,"kJ/mol                        ","          ","ENT   ","kJ/g-atom                     ","          ","          ",,"E¹                                                ",,,"ENT ",0,1,,
"800","aek/gi",,"E¹,kcal/g-ion","E¹,kcal/g-ion",,,"kcal/g-ion                    ","          ","      ","kcal/g-ion                    ","          ","          ",,"E¹                                                ",,,"    ",0,1,,
"800","aekm",,"E¹,kcal/mol","E¹,kcal/mol",,,"kcal/mol                      ","          ","ENT   ","kJ/g-atom                     ","          ","          ",,"E¹                                                ",,,"ENT ",0,1,,
"200","cpc/m",,"C,cal/mol.K","C,cal/mol.K",,,"cal/mol.K                     ","          ","HTC   ","J/g-atom.K                    ","          ","          ",,"C                                                ",,,"HTC ",0,1,,
"200","dhac/m",,"HŸ-Hâéè,cal/mol","H-Hâéè,cal/mol",,,"cal/mol                       ","          ","ENT   ","kJ/g-atom                     ","          ","          ",,"H-Hâéè                                           ",,,"ENT ",0,1,,
"200","cpc/g",,"C,cal/g.K","C,cal/g.K",,,"cal/g.K                       ","          ","HTC   ","J/g-atom.K                    ","          ","          ",,"C                                                ",,,"HTC ",0,1,,
"200","cpe/g",,"C,erg/g.K","C,erg/g.K",,,"erg/g.K                       ","          ","HTC   ","J/g-atom.K                    ","          ","          ",,"C                                                ",,,"HTC ",0,1,,
"200","cpc/ga",,"C,cal/g-atom.K","C,cal/g-atom.K",,,"cal/g-atom.K                  ","          ","HTC   ","J/g-atom.K                    ","          ","          ",,"C                                                ",,,"HTC ",0,1,,
"200","dhc/g",,"HŸ-Hâå,cal/g","H-Hâå,cal/g",,,"cal/g                         ","          ","ENT   ","kJ/g-atom                     ","          ","          ",,"H-Hâå                                            ",,,"ENT ",0,1,,
"200","cpc/mm",,,"(C/TÃ)*1E4,J/mol·K^4",,,"J/mol.K^4                     ","          ","      ","J/mol.K^4                     ","1E4","*1E4      ",,"C/TÃ                                             ",,,"    ",0,1,,
"220","tconmw/cm",,"ô,mW/cm.K","ô,mW/cm.K","cond220",,"mW/cm.K                       ","          ","THC   ","cal/cm.s.K                    ","          ","          ",,"ô                                                 ",,,"THC ",0,1,"cond220",
"220","a/w",,"A,W/m.K","A,W/m.K",,,"W/m.K                         ","          ","THC   ","cal/cm.s.K                    ","          ","          ",,"A                                                 ",,,"THC ",0,0,,
"220","b/w",,"B,W/m.K^2","B,W/m.KÂ",,,"W/m.K2                        ","          ","      ","W/m.K2                        ","          ","          ",,"B                                                 ",,,"    ",0,0,,
"220","tconc/cm","ô",,"ô*1E5,cal/cm.s.K","cond220",,"cal/cm.s.K                    ","          ","THC   ","cal/cm.s.K                    ","1E5       ","1E5       ",,"ô                                                 ",,,"THC ",0,1,"cond220",
"230","tdif/cm",,"a*1E3,cm2/s","a*1E3,cm2/s",,,"cm2/s                         ","          ","DIF   ","cm2/s                         ","1E3       ","1E3       ",,"a                                                 ",,,"TDI ",0,1,,
"700","lnpsc",,,"ln(óà,Ohm^-1.cm^-1)",,,"Ohm^-1.cm^-1                  ","ln        ","ELC   ","Ohm^-1.cm^-1                  ","          ","          ",,"óà                                                ",,,"ELC ",0,0,,
"200","dhkj/k",,"HŸ-Hâå,kJ/kg","H-Hâå,kJ/kg",,,"kJ/kg                         ","          ","ENT   ","kJ/g-atom                     ","          ","          ",,"H-Hâå                                            ",,,"ENT ",0,1,,
"400","lar","A",,"-logA",,,"                              ","          ","      ","                              ","          ","          ",,"-logA                                             ",,,"    ",0,0,,
"560","n/m",,"û,N/m","û,N/m","SUT",,"N/m                           ","          ","SUT   ","mJ/m2                         ","          ","          ",,"û                                                 ",,,"SUT ",0,1,,
"300","ng-d",,"nÞ","nÞ'",,,"                              ","          ","      ","                              ","          ","          ",,"nÞ'                                               ",,,"    ",0,1,,
"100","va",,"A,cm3/g","A,cm3/g",,,"cm3/g                         ","          ","SPV   ","cm3/mol                       ","          ","          ",,"A                                                 ",,,"SPV ",0,0,,
"100","vb",,"B,cm3/g.K","B,cm3/g·K",,,"cm3/g.K                       ","          ","      ","cm3/g.K                       ","          ","          ",,"B                                                 ",,,"    ",0,0,,
